lat,long,customer_id,trip_id,week_index,type,ride_count
40.724,-73.838,58,74889400000000.0,80,destination,740
40.724,-73.838,58,74914600000000.0,80,destination,740
40.724,-73.838,58,75015500000000.0,80,destination,740
40.724,-73.838,58,75065900000000.0,80,destination,740
40.724,-73.838,58,75166800000000.0,80,destination,740
40.724,-73.838,58,75318100000000.0,80,destination,740
40.724,-73.838,58,75368500000000.0,80,destination,740
40.724,-73.838,58,75494600000000.0,80,destination,740
40.724,-73.838,58,75898000000000.0,80,destination,740
40.724,-73.838,58,75998900000000.0,80,destination,740
40.724,-73.838,58,76074500000000.0,80,destination,740
40.724,-73.838,58,76124900000000.0,80,destination,740
40.724,-73.838,58,76200600000000.0,80,destination,740
40.724,-73.838,58,76225800000000.0,80,destination,740
40.724,-73.838,58,76276200000000.0,80,destination,740
40.724,-73.838,58,76326700000000.0,80,destination,740
40.724,-73.838,58,76377100000000.0,80,destination,740
40.724,-73.838,58,76452700000000.0,80,destination,740
40.724,-73.838,58,76528400000000.0,80,destination,740
40.724,-73.838,58,76780500000000.0,80,destination,740
40.724,-73.838,58,76830900000000.0,80,destination,740
40.724,-73.838,58,77461300000000.0,80,destination,740
40.724,-73.838,58,81268800000000.0,80,destination,740
40.724,-73.838,58,87975900000000.0,80,destination,740
40.724,-73.838,58,88102000000000.0,80,destination,740
40.724,-73.838,58,88228100000000.0,80,destination,740
40.724,-73.838,58,88303700000000.0,80,destination,740
40.724,-73.838,58,88354200000000.0,80,destination,740
40.724,-73.838,58,88429800000000.0,80,destination,740
40.724,-73.838,58,88984500000000.0,80,destination,740
40.724,-73.838,58,89085400000000.0,80,destination,740
40.724,-73.838,58,89135800000000.0,80,destination,740
40.724,-73.838,58,89236700000000.0,80,destination,740
40.724,-73.838,58,89337500000000.0,80,destination,740
40.724,-73.838,58,90320900000000.0,80,destination,740
40.714,-73.952,58,13750600000000.0,84,destination,7
40.742,-73.944,58,22539500000000.0,84,destination,119
40.742,-73.944,58,22615200000000.0,84,destination,119
40.742,-73.944,58,22741300000000.0,84,destination,119
40.742,-73.944,58,22791700000000.0,84,destination,119
40.742,-73.944,58,22892500000000.0,84,destination,119
40.742,-73.944,58,22968200000000.0,84,destination,119
40.742,-73.944,58,23018600000000.0,84,destination,119
40.742,-73.944,58,23069000000000.0,84,destination,119
40.742,-73.944,58,23094300000000.0,84,destination,119
40.742,-73.944,58,23144700000000.0,84,destination,119
40.742,-73.944,58,23169900000000.0,84,destination,119
40.742,-73.944,58,23245600000000.0,84,destination,119
40.742,-73.944,58,23371600000000.0,84,destination,119
40.742,-73.944,58,23422100000000.0,84,destination,119
40.742,-73.944,58,23472500000000.0,84,destination,119
40.742,-73.944,58,23548100000000.0,84,destination,119
40.742,-73.944,58,23699400000000.0,84,destination,119
40.742,-73.944,58,35525200000000.0,84,destination,119
40.798,-73.946,58,130099000000000.0,85,destination,2
40.798,-73.946,58,130150000000000.0,85,destination,2
40.742,-73.944,58,80389800000000.0,85,destination,119
40.742,-73.944,58,80415000000000.0,85,destination,119
40.742,-73.944,58,80515800000000.0,85,destination,119
40.742,-73.944,58,80566300000000.0,85,destination,119
40.742,-73.944,58,80591500000000.0,85,destination,119
40.742,-73.944,58,80616700000000.0,85,destination,119
40.742,-73.944,58,80641900000000.0,85,destination,119
